county_fips,aor
51179,Washington
51103,Washington
51159,Washington
51015,Washington
51181,Washington
51059,Washington
51069,Washington
53057,Seattle
53055,Seattle
53027,Seattle
53045,Seattle
53033,Seattle
53049,Seattle
53029,Seattle
54063,Philadelphia
54103,Philadelphia
54095,Philadelphia
54107,Philadelphia
54057,Philadelphia
54031,Philadelphia
54027,Philadelphia
55023,Chicago
55011,Chicago
55121,Chicago
56007,Denver
56033,Denver
56029,Denver
05097,New Orleans
05025,New Orleans
08035,Denver
08043,Denver
08027,Denver
08117,Denver
08049,Denver
08029,Denver
08091,Denver
08093,Denver
12069,Miami
12083,Miami
12023,Miami
12119,Miami
12097,Miami
12121,Miami
12125,Miami
13121,Atlanta
13013,Atlanta
13163,Atlanta
13009,Atlanta
13279,Atlanta
13001,Atlanta
13023,Atlanta
13133,Atlanta
13311,Atlanta
13301,Atlanta
13315,Atlanta
13305,Atlanta
13289,Atlanta
13249,Atlanta
15003,San Francisco
15001,San Francisco
16013,Salt Lake City
16061,Salt Lake City
16025,Salt Lake City
16015,Salt Lake City
17039,Chicago
31075,St Paul
31091,St Paul
32015,Salt Lake City
34035,Newark
35021,El Paso
35051,El Paso
37085,Atlanta
37125,Atlanta
37117,Atlanta
37051,Atlanta
37059,Atlanta
37083,Atlanta
37027,Atlanta
37127,Atlanta
37015,Atlanta
37093,Atlanta
38103,St Paul
47003,New Orleans
47053,New Orleans
47033,New Orleans
47173,New Orleans
47031,New Orleans
47119,New Orleans
47121,New Orleans
47107,New Orleans
47105,New Orleans
47141,New Orleans
47081,New Orleans
47079,New Orleans
47057,New Orleans
47159,New Orleans
38071,St Paul
39077,Detroit
39065,Detroit
40101,Dallas
40035,Dallas
40075,Dallas
42091,Philadelphia
42043,Philadelphia
42027,Philadelphia
42033,Philadelphia
42063,Philadelphia
42031,Philadelphia
42035,Philadelphia
42061,Philadelphia
42113,Philadelphia
45079,Atlanta
45047,Atlanta
45087,Atlanta
45071,Atlanta
45049,Atlanta
45005,Atlanta
46093,St Paul
46073,St Paul
46117,St Paul
47143,New Orleans
47093,New Orleans
21119,Chicago
21003,Chicago
21139,Chicago
21055,Chicago
21239,Chicago
21193,Chicago
21181,Chicago
21189,Chicago
21097,Chicago
21063,Chicago
22015,New Orleans
22077,New Orleans
22125,New Orleans
22091,New Orleans
22025,New Orleans
24027,Baltimore
26051,Detroit
27061,St Paul
27171,St Paul
27127,St Paul
27097,St Paul
27139,St Paul
27129,St Paul
27107,St Paul
27065,St Paul
28083,New Orleans
28131,New Orleans
28051,New Orleans
28157,New Orleans
28013,New Orleans
29027,Chicago
29113,Chicago
29123,Chicago
29207,Chicago
30045,Salt Lake City
30013,Salt Lake City
30007,Salt Lake City
30049,Salt Lake City
30027,Salt Lake City
30037,Salt Lake City
30039,Salt Lake City
31185,St Paul
37019,Atlanta
37119,Atlanta
37145,Atlanta
39171,Detroit
40079,Dallas
02170,Seattle
02122,Seattle
41045,Seattle
02240,Seattle
41039,Seattle
41001,Seattle
42125,Philadelphia
44005,Boston
45007,Atlanta
45083,Atlanta
46127,St Paul
04009,Phoenix
47183,New Orleans
49025,Salt Lake City
49005,Salt Lake City
49003,Salt Lake City
50009,Boston
51141,Washington
51027,Washington
51093,Washington
51095,Washington
54065,Philadelphia
54023,Philadelphia
55075,Chicago
56005,Denver
05039,New Orleans
05117,New Orleans
05067,New Orleans
05075,New Orleans
51111,Washington
51177,Washington
51087,Washington
51101,Washington
51155,Washington
51187,Washington
51137,Washington
51067,Washington
